participant_id,condition,mean_activation
1,baseline,-0.03720485446619306
1,ingroup,0.068734858203707
1,outgroup,0.08110048792445383
2,baseline,0.03004991750550734
2,ingroup,0.02908947703592495
2,outgroup,0.06158576670826443
3,baseline,0.010369454056550067
3,ingroup,-0.29521601532641367
3,outgroup,-0.14857471075212586
4,baseline,0.12647420747515953
4,ingroup,0.10677330017968395
4,outgroup,0.06319068914088215
5,baseline,-0.0269305792251039
5,ingroup,0.0008898047722849172
5,outgroup,-0.17581178239637182
6,baseline,0.04213831455221172
6,ingroup,-0.0699137399997186
6,outgroup,0.0727136041338112
7,baseline,0.04645211546660156
7,ingroup,-0.16331817659338935
7,outgroup,0.04200869471102212
8,baseline,0.044606693132281994
8,ingroup,-0.0454847517410934
8,outgroup,0.03001466886506714
9,baseline,0.09242101362218065
9,ingroup,-0.1914017642250489
9,outgroup,-0.0014896954506871285
10,baseline,-0.19699857013798153
10,ingroup,-0.013617502057601713
10,outgroup,-0.24107341476593158
11,baseline,0.19794890471258783
11,ingroup,-0.15858091219153272
11,outgroup,-0.0852980959104028
12,baseline,0.011464280125125641
12,ingroup,0.09285288552742234
12,outgroup,0.00035235283112267145
13,baseline,0.250743963980855
13,ingroup,0.03133613611225965
13,outgroup,-0.2141153530516731
14,baseline,0.10017466909710157
14,ingroup,-0.20508165394663433
14,outgroup,-0.1300840249772317
15,baseline,-0.27524652898231566
15,ingroup,0.1006279698478325
15,outgroup,0.028147143967335992
16,baseline,0.10115107428215028
16,ingroup,-0.19198906297542082
16,outgroup,-0.008695718537266998
17,baseline,-0.15473691012036134
17,ingroup,0.053240393325464194
17,outgroup,0.041372688784272124
18,baseline,-0.24087350877675462
18,ingroup,0.1346656745580534
18,outgroup,-0.20495974052964655
19,baseline,-0.13483037083638483
19,ingroup,-0.0045431833356947135
19,outgroup,0.03209818732418187
20,baseline,-0.010418475884724714
20,ingroup,-0.23022765331746747
20,outgroup,0.21489424656371559
21,baseline,0.14016183509338126
21,ingroup,-0.12478733534951907
21,outgroup,-0.2066569008912175
22,baseline,-0.06690010820879067
22,ingroup,-0.34966516226767774
22,outgroup,-0.24703938795398783
23,baseline,-0.04039911602376483
23,ingroup,-0.10961224116999091
23,outgroup,-0.020607169582567756
24,baseline,0.26130691993777405
24,ingroup,-0.07139856515616999
24,outgroup,-0.0419864662079061
25,baseline,0.09235256123998173
25,ingroup,0.0636336845753311
25,outgroup,0.2554110291105693
26,baseline,-0.18971434726940722
26,ingroup,0.007592994543994389
26,outgroup,-0.08771610350027537
27,baseline,-0.05392732780066892
27,ingroup,0.03984808733211189
27,outgroup,-0.0835748211795677
28,baseline,0.11341719934383988
28,ingroup,0.014278567449443242
28,outgroup,0.13815083181109478
29,baseline,0.22181307013414006
29,ingroup,0.022781801877104404
29,outgroup,0.03320759928473423
30,baseline,0.024563480653943044
30,ingroup,-0.06602695647597108
30,outgroup,-0.20979516144633187
31,baseline,-0.1290565442809046
31,ingroup,0.11125134245127712
31,outgroup,0.15360044195298406
32,baseline,0.032299303718468446
32,ingroup,-0.10405952892337783
32,outgroup,0.06672653993613635
33,baseline,-0.1477971912395345
33,ingroup,-0.04729627973023686
33,outgroup,-0.09546374728048783
34,baseline,-0.022301565804900666
34,ingroup,-0.02564862788176744
34,outgroup,-0.11020291957660244
35,baseline,0.15138809856656385
35,ingroup,-0.15955572354548014
35,outgroup,-0.15794458481085333
36,baseline,0.08962839085499166
36,ingroup,-0.07990947386159282
36,outgroup,-0.24877474789927434
37,baseline,-0.22546570565351412
37,ingroup,0.10698550873139412
37,outgroup,-0.04279781116394644
38,baseline,0.027689053971652496
38,ingroup,-0.21178904148555475
38,outgroup,0.15372853150473972
39,baseline,0.14497423184061506
39,ingroup,-0.11332939618782138
39,outgroup,-0.1959919424138532
40,baseline,-0.17961626354975777
40,ingroup,-0.08162110778881405
40,outgroup,-0.17392027858476447
41,baseline,-0.10849597694242685
41,ingroup,0.07676329475987115
41,outgroup,0.10700803251449507
42,baseline,-0.012910301555579214
42,ingroup,0.03038015639925259
42,outgroup,-0.26683382478464623
43,baseline,0.0710142881404398
43,ingroup,-0.10924107080561257
43,outgroup,-0.15555762939346438
44,baseline,0.42385817480952
44,ingroup,0.07824110773654011
44,outgroup,0.06769759142935308
45,baseline,0.1572031795057253
45,ingroup,0.16843027218203369
45,outgroup,0.09163042870222408
46,baseline,0.5976720380536843
46,ingroup,-0.01066117330377405
46,outgroup,-0.10901409518954316
47,baseline,-0.057493344749654646
47,ingroup,-0.02968227255305821
47,outgroup,-0.2205667789376083
48,baseline,0.09009713847032706
48,ingroup,-0.12346271787360795
48,outgroup,0.06522187545405336
49,baseline,0.14314384739135852
49,ingroup,-0.033935175792177114
49,outgroup,-0.02120040563935788
50,baseline,0.057893073973674394
50,ingroup,-0.026637659058483525
50,outgroup,0.22804760254941703
